Title,Artist,Year,Genre,Popularity,Formatted_Artist,Formatted_Title
Пятница,Дела Поважнее,2020,rock,40,_,
За семью печатями,Splean,2020,rock,36,splean,_
Я делаю шаг,The Hatters,2020,rock,39,the_hatters,_
You Said,Fontaines D.C.,2020,rock,47,fontaines_dc,you_said
Four Out Of Five - Live,Arctic Monkeys,2020,rock,43,arctic_monkeys,four_out_of_five_live
"Today, Tomorrow and Forever",Sanctus Real,2020,rock,56,sanctus_real,today_tomorrow_and_forever
Why'd You Only Call Me When You're High? - Live,Arctic Monkeys,2020,rock,43,arctic_monkeys,whyd_you_only_call_me_when_youre_high_live
Oh Such A Spring,Fontaines D.C.,2020,rock,46,fontaines_dc,oh_such_a_spring
Nothing Compares 2 U,Chris Cornell,2020,rock,51,chris_cornell,nothing_compares_2_u
On Fire,THE ROOP,2020,rock,37,the_roop,on_fire
Ночные Ведьмы,RADIO TAPOK,2020,rock,37,radio_tapok,_
Офелія,Лівінстон,2020,rock,36,,
The Rush,JJ Wilde,2020,rock,43,jj_wilde,the_rush
Booster Seat,Spacey Jane,2020,rock,65,spacey_jane,booster_seat
We Could Start a War - EP Version,Somebody's Child,2020,rock,51,somebodys_child,we_could_start_a_war_ep_version
Кохання,Pianoboy,2020,rock,36,pianoboy,
Сказки,Дайте танк (!),2020,rock,38,_,
Memory I Don't Mess With,Lee Brice,2020,rock,70,lee_brice,memory_i_dont_mess_with
On The Road Again - Live,Willie Nelson,2020,rock,57,willie_nelson,on_the_road_again_live
My Own Soul’s Warning,The Killers,2020,rock,55,the_killers,my_own_souls_warning
505 - Live,Arctic Monkeys,2020,rock,43,arctic_monkeys,505_live
МЯТОЙ (Remix 2010),КОСМОНАВТОВ НЕТ,2020,rock,37,_,_remix_2010
"1,000,000 TIMES feat. chelly (EGOIST)",MY FIRST STORY,2020,rock,50,my_first_story,1000000_times_feat_chelly_egoist
Comment est ta peine ?,Benjamin Biolay,2020,rock,48,benjamin_biolay,comment_est_ta_peine_
Tonight (Mousse T. Remix),Simply Red,2020,rock,45,simply_red,tonight_mousse_t_remix
VENT'ANNI,Måneskin,2020,rock,45,maneskin,ventanni
"If You Want To Sing Out, Sing Out",Yusuf / Cat Stevens,2020,rock,57,yusuf_cat_stevens,if_you_want_to_sing_out_sing_out
Crying Lightning - Live,Arctic Monkeys,2020,rock,42,arctic_monkeys,crying_lightning_live
Klámstrákur,Hatari,2020,rock,32,hatari,klamstrakur
Caffeine,Kiro Akiyama,2020,rock,54,kiro_akiyama,caffeine
Бардак,Дайте танк (!),2020,rock,37,_,
Закохані злодії,Kozak System,2020,rock,35,kozak_system,_
